alg,size,time_ns,comp,alloc,maxdepth
merge,1000,0.678083,10433,1000,7
merge,123213,15.787958,2115013,123213,14
merge,123213000,10744.365500,3335399490,123213000,24
quick,1232130,75.550042,31535877,0,14
merge,10,0.873792,29,10,1
quick,11111,3.118208,171464,0,9
